"","SCoPs","Delta","MaxRegions"
"µ",40.6177233632737,6.74066062270304,43.3556262478604
"s",34.6890577963886,10.2425486968219,38.2421014336524
"s²",1203.33073080119,21.5341954317114,1462.45832206176
