project,t_scop,t_total,dyncov
misr.simple,72,200000.0,0.036
yacr2.simple,3214765,5510000.0,58.3441923774955
GlobalDataFlow-dbl.simple,3768513,8810000.0,42.7754029511918
Reductions-flt.simple,31125553,42020000.0,74.0731865778201
ldecod.simple,14750242,7910000.0,186.47587863464
Symbolics-flt.simple,967274,1230000.0,78.640162601626
Treesort.simple,665915,2220000.0,29.9961711711712
oopack_v1p8.simple,152630,320000.0,47.696875
ft.simple,43976,730000.0,6.0241095890411
stepanov_abstraction.simple,8410680,15340000.0,54.8284224250326
2mm.simple,5994936,6120000.0,97.9564705882353
qbsort.simple,74,140000.0,0.0528571428571429
is.simple,32845,161900000.0,0.0202872143298332
ary2.simple,10133,90000.0,11.2588888888889
exptree.simple,697,60000.0,1.16166666666667
anagram.simple,425544,32390000.0,1.31381290521766
fib2.simple,71,2120000.0,0.00334905660377358
perlin.simple,321226439,464580000.0,69.1434067329631
network-dijkstra.simple,74935,180000.0,41.6305555555556
Perm.simple,505,80000.0,0.63125
whetstone.simple,34418,4210000.0,0.817529691211401
fourinarow.simple,1532562,930000.0,164.791612903226
cfrac.simple,138475249,242100000.0,57.1975419248244
life.simple,1997432,6500000.0,30.7297230769231
fbench.simple,36468435,55770000.0,65.3907746100054
Equivalencing-dbl.simple,1957555,2060000.0,95.0269417475728
mvt.simple,151340,260000.0,58.2076923076923
gramschmidt.simple,2266140,2770000.0,81.8101083032491
seidel-2d.simple,257063,390000.0,65.9135897435897
fdtd-apml.simple,15214,840000.0,1.81119047619048
linpack-pc.simple,186533476,361040000.0,51.6655982716596
wc.simple,94,70000.0,0.134285714285714
objects.simple,92,60000.0,0.153333333333333
470.lbm.simple,4247144,5400000.0,78.6508148148148
burg.simple,1207,70000.0,1.72428571428571
adi.simple,1269928,1430000.0,88.8061538461538
puzzle.simple,98131,180000.0,54.5172222222222
tcc,32576783,22940000.0,142.008644289451
mpeg2decode.simple,293189,340000.0,86.2320588235294
plot2fig.simple,116,60000.0,0.193333333333333
ControlFlow-dbl.simple,107565718,153440000.0,70.1027880604797
flops-2.simple,885930,950000.0,93.2557894736842
scimark2.simple,119060621,193940000.0,61.3904408579973
objinst.simple,250,120000.0,0.208333333333333
nsieve-bits.simple,202252812,293460000.0,68.9200613371499
nestedloop.simple,152,120000.0,0.126666666666667
CrossingThresholds-flt.simple,1856452,2410000.0,77.0312033195021
429.mcf.simple,325717489,189100000.0,172.246160232681
family.simple,98,60000.0,0.163333333333333
telecomm-fft.simple,63549,200000.0,31.7745
queens.simple,294623,473230000.0,0.0622578872852524
stepanov_v1p2.simple,3742825,11450000.0,32.6884279475983
LoopRestructuring-flt.simple,3282020,3360000.0,97.6791666666667
Packing-flt.simple,1045,3100000.0,0.0337096774193548
stepanov_container.simple,59219143,88820000.0,66.6732076108984
hello.simple,102,100000.0,0.102
automotive-susan.simple,288138,250000.0,115.2552
trees.simple,144,60000.0,0.24
drop3.simple,191574620,462770000.0,41.3973723447933
consumer-jpeg.simple,315170,210000.0,150.080952380952
five11.simple,10217,9150000.0,0.111661202185792
Obsequi.simple,107516320,215700000.0,49.8453036624942
gemm.simple,2994459,3120000.0,95.97625
StatementReordering-dbl.simple,3517880,3610000.0,97.4481994459834
