project,t_parent,t_total,dyncov
iotest.simple_lnt,8513,330000,2.57969696969697
vcirc.simple_lnt,96,140000,0.137142857142857
plot2fig.simple_lnt,120,240000,0.15
family.simple_lnt,97,210000,0.138571428571429
CrossingThresholds-flt.simple_lnt,1890655,12200000,77.4858606557377
ControlFlow-dbl.simple_lnt,145639977,585840000,99.440104465383
matrix.simple_lnt,458,14500000,0.0157931034482759
objects.simple_lnt,94,210000,0.134285714285714
ary.simple_lnt,10190,5e+05,10.19
simple_types_loop_invariant.simple_lnt,58950,29820000,2.76760563380282
matmul_f64_4x4.simple_lnt,31682757,47420000,66.813068325601
Treesort.simple_lnt,932994,1800000,51.833
lulesh,283518535,6.6546e+10,95.8610139978361
Equivalencing-dbl.simple_lnt,1991206,19080000,93.9248113207547
loader.simple_lnt,123,90000,0.136666666666667
burg.simple_lnt,3114,3680000,1.35391304347826
misr.simple_lnt,71,210000,0.0338095238095238
fib2.simple_lnt,72,2170000,0.00331797235023041
network-dijkstra.simple_lnt,73747,630000,35.1176190476191
life.simple_lnt,5224265,7160000,72.964594972067
exptree.simple_lnt,1181,350000,1.68714285714286
2mm.simple_lnt,5999631,12300000,97.5549756097561
ary2.simple_lnt,10138,4e+05,12.6725
stepanov_abstraction.simple_lnt,8146836,1.8e+08,54.31224
Recurrences-flt.simple_lnt,3583361,14680000,97.6392643051771
InductionVariable-flt.simple_lnt,1894520,11280000,67.1815602836879
470.lbm.simple_lnt,5328987,48600000,98.6849444444444
LinearDependence-dbl.simple_lnt,3394834,14040000,96.7189173789174
NodeSplitting-flt.simple_lnt,2661574,1.1e+07,96.7845090909091
spellcheck.simple_lnt,83,70000,0.118571428571429
Expansion-dbl.simple_lnt,2896311,13920000,83.2273275862069
fhourstones3.1.simple_lnt,72248746,1049440000,55.0760375057173
spectral-norm.simple_lnt,108,2430000,0.0133333333333333
trisolv.simple_lnt,93417,3e+05,62.278
allroots.simple_lnt,100,270000,0.111111111111111
Searching-dbl.simple_lnt,2145773,14480000,59.2754972375691
uudecode.simple_lnt,11508652,17070000,67.4203397773872
flops-7.simple_lnt,1459047,1520000,95.9899342105263
trees.simple_lnt,167,450000,0.185555555555556
sphereflake.simple_lnt,1268427,44100000,20.1337619047619
StatementReordering-dbl.simple_lnt,3549294,14600000,97.2409315068493
drop3.simple_lnt,400286054,3897840000,82.1554612811198
five11.simple_lnt,2867017,6030000,47.5458872305141
dynprog.simple_lnt,169459,460000,73.6778260869565
telecomm-fft.simple_lnt,67569,1150000,29.3778260869565
Packing-flt.simple_lnt,1911,13240000,0.0577341389728097
LoopRestructuring-flt.simple_lnt,2945344,12200000,96.5686557377049
stepanov_v1p2.simple_lnt,3635472,54700000,33.2310054844607
analyzer.simple_lnt,2238321,22240000,80.5151438848921
garage.simple_lnt,108,630000,0.0514285714285714
gemm.simple_lnt,2991856,6240000,95.8928205128205
office-stringsearch.simple_lnt,978,1e+05,0.978
StatementReordering-flt.simple_lnt,2286034,9520000,96.0518487394958
hello.simple_lnt,104,260000,0.08
stepanov_container.simple_lnt,85094402,1761150000,72.4762814070352
deriv2.simple_lnt,118,80000,0.1475
stepanov_vector.simple_lnt,9523267,221340000,60.2357179000633
hash2.simple_lnt,37191996,558300000,66.6165072541644
LoopRestructuring-dbl.simple_lnt,4171512,17040000,97.9228169014084
n-body.simple_lnt,4032120,13240000,60.9081570996979
LoopRerolling-flt.simple_lnt,2419334,10480000,92.3409923664122
dt.simple_lnt,627732,690000,90.975652173913
flops-4.simple_lnt,634911,7e+05,90.7015714285714
mybison.simple_lnt,61375,6e+06,40.9166666666667
random.simple_lnt,171,11760000,0.00436224489795918
cdecl.simple_lnt,39352,720000,43.7244444444444
Queens.simple_lnt,3426,80000,4.2825
IntMM.simple_lnt,10569,80000,13.21125
